date,campaign_id,creative_id,country,os,days_since_launch,impressions_last_7d,spend_usd,impressions,viewable_impressions,clicks,conversions,revenue_usd,video_completions
2026-01-19,20000,500000,CA,Android,0,0,1975.84,317764,271361,4385,904,5034.81,0
2026-01-19,20000,500000,CA,iOS,0,317764,1547.39,233737,185367,2413,467,2125.05,0
2026-01-19,20000,500000,US,Android,0,551501,233.67,33591,26121,308,51,244.58,0
2026-01-19,20000,500000,US,iOS,0,585092,256.34,35524,26405,388,78,367.42,0
2026-01-19,20000,500000,ES,Android,0,620616,265.09,62072,48430,578,104,681.18,0
2026-01-19,20000,500000,ES,iOS,0,682688,308.58,65410,52304,542,133,681.45,0
2026-01-19,20000,500000,JP,Android,0,748098,697.61,103480,88157,1113,256,1704.24,0
2026-01-19,20000,500000,JP,iOS,0,851578,632.9,88882,71601,899,163,875.06,0
2026-01-20,20000,500000,CA,Android,1,622696,913.6,161673,145274,1892,404,2212.6,0
2026-01-20,20000,500004,CA,Android,0,0,963.25,141662,110574,2032,391,2434.35,95098
2026-01-20,20000,500000,CA,iOS,1,550632,656.51,101989,79594,828,162,765.02,0
2026-01-20,20000,500004,CA,iOS,0,141662,732.99,95162,77238,1453,325,1704.8,64278
2026-01-20,20000,500000,US,Android,1,619030,134.5,20293,17747,216,41,269.12,0
2026-01-20,20000,500004,US,Android,0,236824,116.34,14700,12153,213,49,256.06,10200
2026-01-20,20000,500000,US,iOS,1,603799,101.62,11796,10493,102,19,98.99,0
2026-01-20,20000,500004,US,iOS,0,251524,81.72,9426,7504,120,23,111.87,6333
2026-01-20,20000,500000,ES,Android,1,553523,152.23,36760,27679,355,67,420.75,0
2026-01-20,20000,500004,ES,Android,0,260950,129.66,24815,20607,330,49,248.42,16844
2026-01-20,20000,500000,ES,iOS,1,524873,108.69,25792,18662,215,54,311.52,0
2026-01-20,20000,500004,ES,iOS,0,285765,104.88,17324,13470,236,51,311.18,11295
2026-01-20,20000,500000,JP,Android,1,447185,326.13,52462,40890,403,98,556.68,0
2026-01-20,20000,500004,JP,Android,0,303089,310.15,39427,34871,474,87,496.91,26714
2026-01-20,20000,500000,JP,iOS,1,410765,276.1,40097,36234,291,60,356.13,0
2026-01-20,20000,500004,JP,iOS,0,342516,215.44,24733,22387,335,96,594.97,16869
2026-01-21,20000,500000,CA,Android,2,289189,837.16,149522,123304,1395,215,1131.0,0
2026-01-21,20000,500004,CA,Android,1,225587,727.42,100204,85448,1725,357,1916.29,69269
2026-01-21,20000,500000,CA,iOS,2,336722,810.3,121202,110033,1123,215,1288.49,0
2026-01-21,20000,500004,CA,iOS,1,230629,629.27,81110,63937,1190,263,1728.22,53173
2026-01-21,20000,500000,US,Android,2,437631,142.86,21391,16340,179,45,287.52,0
2026-01-21,20000,500004,US,Android,1,297039,104.85,12611,10849,218,47,230.26,7830
2026-01-21,20000,500000,US,iOS,2,447226,95.94,13388,11861,140,30,151.88,0
2026-01-21,20000,500004,US,iOS,1,300224,94.46,10035,8463,155,28,141.99,6744
